"12sq -- Vuokrailmoitusten lukum‰‰r‰t ja markkinointiajat alueittain kerrostaloasunnoista, kuukausittain, 2020M01-2020M09"

"Kuukausi";"Alue";"Kaikkien ilmoitusten lukum‰‰r‰";"Tulleiden ilmoitusten lukum‰‰r‰";"Poistuneiden ilmoitusten lukum‰‰r‰"
"2020M01";"Koko maa";25408;10828;12575
"2020M01";"Oulu";1362;567;687
"2020M01";"Oulu 1";725;298;359
"2020M01";"Oulu 2";637;269;328
"2020M02";"Koko maa";24320;9773;12364
"2020M02";"Oulu";1249;518;688
"2020M02";"Oulu 1";657;260;362
"2020M02";"Oulu 2";592;258;326
"2020M03";"Koko maa";26477;11974;12502
"2020M03";"Oulu";1290;623;619
"2020M03";"Oulu 1";666;303;311
"2020M03";"Oulu 2";624;320;308
"2020M04";"Koko maa";29118;13539;13813
"2020M04";"Oulu";1553;824;748
"2020M04";"Oulu 1";730;351;338
"2020M04";"Oulu 2";823;473;410
"2020M05";"Koko maa";30677;13847;14982
"2020M05";"Oulu";1715;832;888
"2020M05";"Oulu 1";804;370;416
"2020M05";"Oulu 2";911;462;472
"2020M06";"Koko maa";31369;13506;15744
"2020M06";"Oulu";1688;738;926
"2020M06";"Oulu 1";781;332;392
"2020M06";"Oulu 2";907;406;534
"2020M07";"Koko maa";31911;14202;18201
"2020M07";"Oulu";1663;791;1085
"2020M07";"Oulu 1";807;360;499
"2020M07";"Oulu 2";856;431;586
"2020M08";"Koko maa";28398;12626;14975
"2020M08";"Oulu";1371;665;815
"2020M08";"Oulu 1";704;332;415
"2020M08";"Oulu 2";667;333;400
"2020M09";"Koko maa";28471;13300;14514
"2020M09";"Oulu";1273;605;720
"2020M09";"Oulu 1";659;297;387
"2020M09";"Oulu 2";614;308;333
